m2,Price-X1000RMB
65,317
107,688
123,626
95,715
120,872
110,782
104,796
79,592
96,753
105,713
91,552
109,825
88,620
116,754
113,814
98,607
89,829
121,974
91,488
78,569
132,839
131,1186
95,573
83,514
104,754
119,748
115,955
127,952
93,791
101,834
104,634
71,414
85,766
116,968
115,741
91,666
124,778
66,507
73,621
75,608
89,527
87,586
100,829
88,614
126,1152
65,456
80,541
107,880
68,527
129,936
76,802
89,651
81,656
83,653
102,734
110,711
83,791
125,865
98,847
82,594
82,617
100,698
105,861
100,591
67,699
79,449
112,855
115,955
121,703
71,527
63,504
107,636
93,722
86,578
141,1043
89,866
115,915
74,552
112,796
78,448
114,802
114,831
69,557
118,776
116,991
109,791
102,696
101,695
88,737
76,614
66,672
107,857
138,1149
92,901
137,979
100,815
98,721
100,852
96,662
50,535
